"instructor_id","name","email","dept_id","salary","experience"
1,"Prof. Kimatkar","kim@univ.com",1,"60000",5
2,"Prof. Wankhede","wank@univ.com",2,"55000",5
3,"Instructor_3","instructor3@univ.com",4,"79052",15
4,"Instructor_4","instructor4@univ.com",8,"70674",4
5,"Instructor_5","instructor5@univ.com",10,"74676",8
6,"Instructor_6","instructor6@univ.com",5,"56476",8
7,"Instructor_7","instructor7@univ.com",1,"76256",3
8,"Instructor_8","instructor8@univ.com",3,"96412",11
9,"Instructor_9","instructor9@univ.com",7,"40752",1
10,"Instructor_10","instructor10@univ.com",6,"84583",19
11,"Instructor_11","instructor11@univ.com",5,"87233",18
12,"Instructor_12","instructor12@univ.com",3,"47507",8
13,"Instructor_13","instructor13@univ.com",4,"84676",19
14,"Instructor_14","instructor14@univ.com",6,"97985",8
15,"Instructor_15","instructor15@univ.com",2,"75190",1
16,"Instructor_16","instructor16@univ.com",2,"89209",3
17,"Instructor_17","instructor17@univ.com",7,"57486",23
18,"Instructor_18","instructor18@univ.com",2,"90370",21
19,"Instructor_19","instructor19@univ.com",6,"82006",2
20,"Instructor_20","instructor20@univ.com",6,"62293",8
21,"Instructor_21","instructor21@univ.com",10,"47310",3
22,"Instructor_22","instructor22@univ.com",5,"59234",29
23,"Instructor_23","instructor23@univ.com",1,"68492",2
24,"Instructor_24","instructor24@univ.com",8,"50365",28
25,"Instructor_25","instructor25@univ.com",9,"69735",11
26,"Instructor_26","instructor26@univ.com",2,"40212",3
27,"Instructor_27","instructor27@univ.com",7,"87323",17
28,"Instructor_28","instructor28@univ.com",2,"97399",8
29,"Instructor_29","instructor29@univ.com",9,"87164",9
30,"Instructor_30","instructor30@univ.com",5,"57261",22
31,"Instructor_31","instructor31@univ.com",10,"72806",16
32,"Instructor_32","instructor32@univ.com",6,"89935",7
33,"Instructor_33","instructor33@univ.com",10,"51708",18
34,"Instructor_34","instructor34@univ.com",4,"73271",5
35,"Instructor_35","instructor35@univ.com",2,"99809",24
36,"Instructor_36","instructor36@univ.com",1,"46973",30
37,"Instructor_37","instructor37@univ.com",4,"97050",29
38,"Instructor_38","instructor38@univ.com",5,"80979",19
39,"Instructor_39","instructor39@univ.com",2,"59558",19
40,"Instructor_40","instructor40@univ.com",4,"95159",16
41,"Instructor_41","instructor41@univ.com",2,"81874",8
42,"Instructor_42","instructor42@univ.com",7,"73270",26
43,"Instructor_43","instructor43@univ.com",5,"79909",16
44,"Instructor_44","instructor44@univ.com",8,"53035",26
45,"Instructor_45","instructor45@univ.com",6,"50016",14
46,"Instructor_46","instructor46@univ.com",3,"64504",7
47,"Instructor_47","instructor47@univ.com",6,"89971",4
48,"Instructor_48","instructor48@univ.com",6,"50587",4
49,"Instructor_49","instructor49@univ.com",4,"75348",22
50,"Instructor_50","instructor50@univ.com",5,"91028",14
51,"Instructor_51","instructor51@univ.com",2,"74757",12
52,"Instructor_52","instructor52@univ.com",10,"40037",14
53,"Instructor_53","instructor53@univ.com",3,"79252",14
54,"Instructor_54","instructor54@univ.com",9,"61243",15
55,"Instructor_55","instructor55@univ.com",4,"72021",28
56,"Instructor_56","instructor56@univ.com",3,"41276",24
57,"Instructor_57","instructor57@univ.com",8,"47331",2
58,"Instructor_58","instructor58@univ.com",7,"63788",22
59,"Instructor_59","instructor59@univ.com",5,"97587",21
60,"Instructor_60","instructor60@univ.com",9,"94504",21
61,"Instructor_61","instructor61@univ.com",4,"92872",4
62,"Instructor_62","instructor62@univ.com",6,"60153",2
63,"Instructor_63","instructor63@univ.com",1,"55692",13
64,"Instructor_64","instructor64@univ.com",4,"43796",24
65,"Instructor_65","instructor65@univ.com",1,"55785",11
66,"Instructor_66","instructor66@univ.com",6,"97541",26
67,"Instructor_67","instructor67@univ.com",7,"77182",28
68,"Instructor_68","instructor68@univ.com",5,"45161",4
69,"Instructor_69","instructor69@univ.com",2,"45613",8
70,"Instructor_70","instructor70@univ.com",4,"87966",7
71,"Instructor_71","instructor71@univ.com",10,"71849",7
72,"Instructor_72","instructor72@univ.com",6,"93478",18
73,"Instructor_73","instructor73@univ.com",4,"44535",15
74,"Instructor_74","instructor74@univ.com",8,"89846",5
75,"Instructor_75","instructor75@univ.com",7,"74911",14
76,"Instructor_76","instructor76@univ.com",8,"90189",6
77,"Instructor_77","instructor77@univ.com",3,"48241",9
78,"Instructor_78","instructor78@univ.com",5,"48414",15
79,"Instructor_79","instructor79@univ.com",3,"83237",8
80,"Instructor_80","instructor80@univ.com",4,"71148",28
81,"Instructor_81","instructor81@univ.com",9,"76031",30
82,"Instructor_82","instructor82@univ.com",9,"50821",3
83,"Instructor_83","instructor83@univ.com",5,"57370",15
84,"Instructor_84","instructor84@univ.com",10,"74581",26
85,"Instructor_85","instructor85@univ.com",7,"97175",28
86,"Instructor_86","instructor86@univ.com",10,"79753",28
87,"Instructor_87","instructor87@univ.com",7,"67730",18
88,"Instructor_88","instructor88@univ.com",6,"53880",4
89,"Instructor_89","instructor89@univ.com",4,"75343",2
90,"Instructor_90","instructor90@univ.com",3,"89497",21
91,"Instructor_91","instructor91@univ.com",9,"87836",18
92,"Instructor_92","instructor92@univ.com",8,"85211",27
93,"Instructor_93","instructor93@univ.com",2,"53182",1
94,"Instructor_94","instructor94@univ.com",1,"86723",3
95,"Instructor_95","instructor95@univ.com",2,"60428",30
96,"Instructor_96","instructor96@univ.com",3,"66148",25
97,"Instructor_97","instructor97@univ.com",3,"84019",28
98,"Instructor_98","instructor98@univ.com",7,"82590",8
99,"Instructor_99","instructor99@univ.com",10,"64472",6
100,"Instructor_100","instructor100@univ.com",2,"68711",14
